[[C@@];R;CCNS]
[[n-];R;CN]
[C;!R;CCCl]
[N;R;CS]
[CH;!R;FFN]
[SH;!R;C]
[C;!R;BrCC]
[C;!R;CNS]
[C;R;CClO]
[[C@@H];!R;CCCl]
[[C@H];R;BrCC]
[CH;!R;COO]
[CH2;!R;NS]
[N;!R;CP]
[P;!R;CNNN]
[N;R;CCP]
[C;!R;CCCP]
[CH;R;CO]
[C;R;NOO]
[[C@H];R;COO]
[[C@@];!R;CCNO]
[C;!R;CCF]
[CH2;!R;CF]
[[C@H];!R;CNS]
[N;R;CO]
[O;!R;CO]
[OH;!R;O]
[C;R;CCNN]
[c;R;ClNS]
[[S@];!R;CNO]
[[C@@];R;CCNN]
[[C@@H];R;NOS]
[[NH+];R;CN]
[c;R;COS]
[[nH+];R;CN]
[[S@];R;CCO]
[[C@@H];R;CNO]
[CH2;!R;NO]
[C;R;CCNS]
[c;R;ClNN]
[[N+];!R;CCCC]
[[C@@H];!R;BrCC]
[[C@H];!R;CCCl]
[C;!R;CClO]
[[n-];R;CC]
[[OH+];!R;C]
[[C@H];R;NNS]
[[N+];R;CCCN]
[[C@@];!R;CCCCl]
[C;!R;ClFFO]
[n;R;CCS]
[S;R;NNOO]
[c;R;CClO]
[C;R;BrBrCC]
[n;R;CCO]
[CH;!R;NO]
[[C@H];!R;BrCC]
[C;!R;CCS]
[C;!R;COS]
[C;!R;BrCFF]
[[N-];!R;N]
[[N+];!R;NN]
[C;!R;NO]
[NH;!R;CP]
[P;!R;CCNO]
[O;!R;P]
[C;R;ClNN]
[C;R;CCCl]
[[N+];R;CCCC]
[CH;R;CCF]
[[n+];R;CCN]
[n;R;NO]
[S;R;CS]
[C;R;COS]
[CH;!R;NN]
[[N+];!R;CCC]
[c;R;CIS]
[[C@];R;CCNS]
[[S@];!R;CCN]
[N;!R;SS]
[nH;R;NN]
[C;!R;NSS]
[C;!R;CCOO]
[NH2;!R;O]
[[C@@];R;CCOO]
[C;!R;CCFF]
[CH;!R;CCl]
[[C@@H];R;NNS]
[[N-];!R;NS]
[[C@@H];!R;CCF]
[[C@];!R;CCNO]
[C;R;BrCCC]
[c;R;BrNS]
[C;R;CNOO]
[[N+];!R;CN]
[N;!R;N]
[O;!R;CP]
[P;!R;CCOO]
[c;R;CCP]
[c;R;BrNN]
[c;R;CIN]
[[C@@H];!R;CNO]
[[NH-];!R;C]
[N;R;NN]
[[C@H];R;NOS]
[CH;!R;CNN]
[[C@@H];R;BrCC]
[[O-];!R;S]
[S;R;CN]
[[C@@];R;CCCS]
[S;R;CCO]
[C;R;CCOS]
[C;!R;NN]
[[C@H];!R;CNP]
[[P@@H];!R;COO]
[[O-];!R;P]
[N;!R;NO]
[S;!R;CS]
[CH3;!R;P]
[[P@@];!R;CNOO]
[[C@];R;CCCF]
[C;!R;ClNO]
[CH;R;NS]
[[C@@H];!R;CNN]
[[C@@H];R;NNO]
[CH;R;NNS]
[C;!R;CCCF]
[c;R;CIO]
[[N+];!R;CCO]
[[C@@];R;NNSS]
[s;R;CS]
[s;R;NS]
[[S@];!R;CCNO]
[C;!R;NOS]
[[C@H];R;NNO]
[[NH+];R;CCS]
[CH2;!R;CP]
[P;!R;COOO]
[C;!R;NS]
[P;!R;OOOO]
[[C@@];R;CCCF]
[C;R;BrCC]
[N;R;CNS]
[C;R;CCI]
[C;R;CClS]
[C;!R;CClCl]
[[C@H];R;CCCl]
[[C@@];!R;CCNN]
[C;!R;CSS]
[[C@@H];!R;CFO]
[n;R;CNO]
[C;!R;OOO]
[[N+];R;CCO]
[C;!R;ClOO]
[N;!R;NN]
[[P@@];!R;CCNN]
[[N-];R;CC]
[[C@@H];R;NNN]
[[C@H];R;COS]
[CH;R;CCCl]
[PH2;!R;CO]
[[C@H];!R;CCP]
[C;!R;FFFS]
[CH;R;NO]
[C;R;FFOO]
[N;!R;COS]
[C;R;CCCCl]
[S;R;CNO]
[[P@];R;CCOO]
[C;R;CNP]
[[C@H];R;CCP]
[C;R;CCFF]
[[C@];R;CCCS]
[C;!R;CCP]
[S;!R;OOOO]
[c;R;CNP]
[C;R;CFFO]
[[C@@];R;BrCCC]
[[C@@H];R;CFO]
[CH;!R;OO]
[N;!R;CCP]
[[P+];R;NNNN]
[NH;R;CP]
[[C@H];R;CClS]
[CH;!R;CSS]
[[C@@H];R;CCF]
[[N-];R;CN]
[[C@H];R;CClN]
[P;!R;CCCO]
[[P@];!R;CNOO]
[C;!R;CFO]
[S;!R;CCO]
[[S+];R;CCC]
[C;R;CSS]
[CH2;!R;SS]
[C;!R;BrBrC]
[[C@H];!R;CFO]
[[NH+];!R;CS]
[C;!R;CCCCl]
[C;!R;CO]
[[C@H];!R;CNO]
[C;!R;OSS]
[[N-];!R;CN]
[[N+];!R;NOO]
[C;R;OOO]
[[C@];!R;BrCCC]
[[C@@H];!R;CClS]
[NH;!R;SS]
[C;!R;BrCCC]
[CH;R;NNN]
[C;!R;CClFF]
[[C@H];R;CCF]
[[C@];R;CCCCl]
[C;R;CClN]
[CH2;R;SS]
[[C@@H];!R;CNS]
[[NH+];!R;CCN]
[[P@];R;CNNS]
[S;!R;P]
[C;R;CCP]
[N;R;CNP]
[NH;R;NN]
[[C@H];R;NNN]
[[C@@H];R;CClN]
[[C@@];R;CCCCl]
[c;R;OOS]
[[C@@H];R;NSS]
[[N-];!R;OS]
[S;!R;CN]
[[o+];R;CC]
[[P@@];!R;CCNO]
[c;R;NPS]
[[C@];!R;BrCCCl]
[[P@@];!R;COOO]
[O;!R;PP]
[[n+];R;COO]
[[C@@H];R;CCP]
[P;!R;COOS]
[OH;!R;P]
[c;R;INN]
[P;!R;OOOS]
[P;R;OOO]
[O;R;CP]
[[S@];!R;COO]
[OH;!R;S]
[[C@@H];!R;CNP]
[C;!R;CFFS]
[[CH2-];!R;C]
[CH;!R;CClCl]
[[C@@H];R;BrCS]
[nH;R;CO]
[S;!R;CCNO]
[O;!R;NS]
[[S@@];!R;COO]
[C;R;CCSS]
[[C@@H];R;CSS]
[[P@];!R;CCOO]
[CH2;!R;NP]
[[P@@];!R;CCOO]
[[C@];R;BrCCN]
[NH;!R;S]
[[S@];!R;CNN]
[N;R;CNN]
[[C@H];!R;COP]
[[NH3+];!R;N]
[CH2;!R;OO]
[[C@H];R;CIN]
[N;!R;CNS]
[P;!R;NOOO]
[C;!R;BrC]
[[C@];R;COOO]
[C;!R;ClOS]
[[P@];!R;COOO]
[[P@];R;CCNS]
[[S@@];R;NNO]
[[CH-];R;CC]
[[SH+];!R;C]
[C;!R;CFS]
[N;R;CNO]
[[C@@H];!R;CClF]
[C;!R;CFFO]
[O;R;CS]
[[S@@];R;COO]
[C;!R;CCNN]
[[N+];!R;CCCN]
[[C@H];!R;CFS]
[NH;!R;NO]
[S;!R;NOOO]
[N;!R;NSS]
[S;!R;CClOO]
[Cl;!R;S]
[CH2;!R;ClO]
[[n-];R;NN]
[[C@@H];R;BrCN]
[C;R;CNSS]
[C;R;CIN]
[[C@@];R;CNOO]
[C;!R;FFFN]
[P;!R;NOOS]
[[n+];R;CCS]
[CH;!R;BrBrC]
[[N+];R;CCN]
[C;!R;CCClCl]
[[O+];!R;CC]
[[C@H];!R;COO]
[S;!R;COOS]
[[s+];R;CC]
[[S@@];!R;CCNO]
[C;!R;CFF]
[NH;!R;OS]
[[NH2+];R;CN]
[S;!R;CP]
[[C@];R;BrCCCl]
[[C@@];R;CNNS]
[C;!R;CClS]
[[n+];R;CNO]
[[C@];R;BrCCC]
[o;R;CS]
[s;R;CO]
[C;R;CCF]
[C;R;BrCN]
[[N-];R;CS]
[C;R;BrNN]
[C;!R;ClClN]
[[C@];R;CNOO]
[[C@@H];R;ClNN]
[[S@@];!R;CCOS]
[S;!R;S]
[N;!R;CSS]
[CH2;R;OS]
[C;!R;BrBrBrC]
[C;!R;BrCO]
[[C@H];!R;BrCN]
[[S+];!R;CC]
[[N-];R;NN]
[[P@@];!R;OOOO]
[[PH+];!R;CCC]
[CH;R;CCP]
[[N+];R;CCCO]
[[C@H];!R;CClN]
[CH2;!R;OS]
[[P@];!R;CCNN]
[[C@@];R;CCClN]
[C;!R;CClN]
[[NH+];!R;CCS]
[[C@@];R;CCOS]
[[S@@];!R;NOO]
[[NH-];!R;S]
[CH;!R;CF]
[[P@@];!R;CNSS]
[[C@];R;CNOS]
[[C@];R;CCNP]
[C;!R;CCClN]
[S;!R;NS]
[[C@];R;CCFO]
[[n+];R;CNN]
[F;!R;N]
[[N+];R;CCCF]
[CH2;!R;ClN]
[[C@@];!R;CCFO]
[P;R;COOS]
[[C@@];!R;CCClF]
[[NH+];R;CP]
[P;R;NNNN]
[N;R;CP]
[P;R;NOO]
[NH;R;NS]
[[C@];R;NNSS]
[[C@@H];!R;COP]
[[C@];!R;CNOS]
[[P@];R;NNSS]
[N;R;BrCC]
[Br;!R;N]
[N;R;CCCl]
[Cl;!R;N]
[[C@];!R;CCFO]
[N;R;NSS]
[[C@];!R;COPP]
[[S@@];R;OOO]
[[C@@H];!R;CFS]
[[S@@];R;CNOO]
[[C@@H];R;CClS]
[[C@];R;BrNNS]
[[NH2+];!R;CN]
[P;!R;NNOS]
[PH;R;NOOO]
[[C@H];R;BrCS]
[[NH2+];R;NN]
[c;R;COP]
[P;!R;CNNS]
[[S@@];!R;CNO]
[[N+];!R;CCCO]
[[C@@];!R;CCCS]
[C;R;CCCF]
[c;R;NNP]
[P;!R;CCCS]
[[N+];!R;OOO]
[S;!R;CO]
[C;R;CCCP]
[P;R;COOOO]
[NH;!R;PS]
[N;!R;NS]
[[P@@];R;NNOO]
[C;!R;CI]
[C;!R;COOO]
[C;!R;CClClS]
[[N+];!R;CNO]
[P;!R;CCN]
[C;!R;ClClClP]
[[P@];!R;OOOO]
[C;R;BrCCS]
[[C@H];!R;CClF]
[[C@@];R;CNNO]
[[C@H];R;CCI]
[N;!R;PS]
[[P@];!R;CCNO]
[c;R;SSS]
[CH;!R;BrCC]
[[C@@];!R;BrCCC]
[C;!R;CCl]
[F;!R;O]
[O;!R;CF]
[CH2;!R;ClS]
[[[S@@]+];!R;CCC]
[S;R;NN]
[CH;!R;BrC]
[n;R;CCP]
[PH;!R;CC]
[P;R;NOOO]
[S;R;COOO]
[[C@@];R;CCFO]
[P;R;OOOO]
[[P@@];R;CCNS]
[C;R;NNP]
[[NH+];R;CCN]
[C;!R;ClClClO]
[[S@];R;COO]
[C;!R;OOS]
[[C@H];R;CSS]
[[C@@];R;CNOS]
[[S@];R;COS]
[P;R;OOOS]
[[C@];!R;CCClF]
[CH;!R;CI]
[[C@@H];!R;CCP]
[[C@@H];!R;CClO]
[[C@];!R;CCCCl]
[N;!R;FSS]
[P;!R;CNNO]
[C;!R;CCI]
[[C@H];!R;CClS]
[[C@];!R;BrCCO]
[[P@@];R;NNSS]
[[P@@];R;CNNS]
[n;R;CNP]
[[P@@];R;CNOS]
[NH;!R;N]
[[N+];R;CNO]
[P;R;CCNO]
[CH2;R;OP]
[[S@];R;NOO]
[O;R;NS]
[[C@@H];R;CNP]
[[S@@];R;NOO]
[[P@];R;OOOS]
[[S-];!R;P]
[O;R;CO]
[[N-];!R;C]
[C;!R;BrBrBrS]
[[C@H];R;NSS]
[P;R;COOO]
[[C@@];!R;CNOS]
[CH;R;CNO]
[S;!R;CNNO]
[CH;R;CNS]
[S;!R;COO]
[c;R;BCC]
[B;R;COO]
[O;R;BC]
[[P+];!R;CCNN]
[CH;!R;CNS]
[C;R;CCFO]
[CH2;!R;OP]
[C;!R;CCCSi]
[Si;!R;CCCN]
[CH3;!R;Si]
[n;R;CCSi]
[O;!R;BC]
[[B-];!R;COOO]
[c;R;BCN]
[CH;R;COS]
[PH;R;CCO]
[CH;R;NOO]
[C;!R;ClClClS]
[C;!R;CNP]
[[B-];R;CCNO]
[N;R;BCC]
[C;!R;CCClS]
[C;R;CCClO]
[B;R;CNN]
[NH;R;BC]
[CH;!R;CNP]
[CH;!R;CNO]
[B;!R;COO]
[OH;!R;B]
[P;!R;CNOO]
[nH;R;NO]
[C;!R;BrCClS]
[CH;!R;CCF]
[c;R;CFS]
[C;R;OOOS]
[nH;R;CS]
[N;R;BC]
[[B-];R;CCNN]
[C;!R;CCNS]
[c;R;CCSn]
[Sn;!R;CCCC]
[CH;!R;COP]
[c;R;ClNO]
[CH2;!R;CSi]
[Si;!R;CCCC]
[C;!R;CCNO]
[C;!R;CSi]
[S;!R;CNO]
[S;R;CCNO]
[[S+];!R;CNOO]
[CH2;!R;NSi]
[c;R;CCSi]
[C;!R;NNP]
[B;!R;FFO]
[F;!R;B]
[CH2;!R;OSi]
[P;!R;NNOO]
[NH2;!R;P]
[C;R;BCC]
[C;!R;CCFO]
[CH;R;NNO]
[O;!R;CCl]
[Cl;!R;O]
[C;R;CCCSi]
[CH;R;CCSi]
[CH;!R;BC]
[CH2;!R;CSn]
